Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2024,FixedOpex2024,VarOpex2024,Opex2024,Externalities2024,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
LTS,0,,DIST_FIR,,2018,,12.4972,12.4972,12.4972,12.4972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2019,,18.2867,18.2867,18.2867,18.2867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2020,,18.5214,18.5214,18.5214,18.5214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2021,,18.7544,18.7544,18.7544,18.7544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2022,,18.9082,18.9082,18.9082,18.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2023,,19.1873,19.1873,19.1873,19.1873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2024,,19.9879,19.9879,19.9879,19.9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2025,,20.7965,20.7965,20.7965,20.7965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2026,,20.8805,20.8805,20.8805,20.8805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2027,,20.9646,20.9646,20.9646,20.9646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2028,,21.0487,21.0487,21.0487,21.0487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2029,,21.1328,21.1328,21.1328,21.1328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2030,,21.2169,21.2169,21.2169,21.2169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2031,,20.8589,20.8589,20.8589,20.8589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2032,,20.5008,20.5008,20.5008,20.5008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2033,,20.1429,20.1429,20.1429,20.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2034,,19.7848,19.7848,19.7848,19.7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2035,,19.4269,19.4269,19.4269,19.4269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2036,,19.0689,19.0689,19.0689,19.0689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2037,,18.7108,18.7108,18.7108,18.7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2038,,18.3529,18.3529,18.3529,18.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2039,,17.9949,17.9949,17.9949,17.9949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2040,,17.6368,17.6368,17.6368,17.6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2041,,16.7249,16.7249,16.7249,16.7249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2042,,15.813,15.813,15.813,15.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2043,,14.9012,14.9012,14.9012,14.9012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2044,,13.9893,13.9893,13.9893,13.9893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2045,,13.0774,13.0774,13.0774,13.0774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2046,,12.1655,12.1655,12.1655,12.1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2047,,11.2536,11.2536,11.2536,11.2536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2048,,10.3417,10.3417,10.3417,10.3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2049,,9.4298,9.4298,9.4298,9.4298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_FIR,,2050,,8.5179,8.5179,8.5179,8.5179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_BIM,,2018,,18.3407,18.3407,18.3407,18.3407,,,,,,,180.045,175.706,180.045,,175.706,,,,,,,,,,,,,,,241.2775,241.2775,,,,0.002647564849126522,0.002647564849126522,
LTS,0,,DIST_BIM,,2019,,17.4585,17.4585,17.4585,17.4585,,,,,,,135.434,125.877,135.434,,125.877,,,,,,,,,,,,,,,172.8519,172.8519,,,,0.0019174052156185407,0.0019174052156185407,
LTS,0,,DIST_BIM,,2020,,17.7148,17.7148,17.7148,17.7148,,,,,,,237.931,210.609,237.931,,210.609,,,,,,,,,,,,,,,289.2066,289.2066,,,,0.003420465490720375,0.003420465490720375,
LTS,0,,DIST_BIM,,2021,,17.9878,17.9878,17.9878,17.9878,,,,,,,535.294,451.263,535.294,,451.263,,,,,,,,,,,,,,,619.6697,619.6697,,,,0.007435089641198387,0.007435089641198387,
LTS,0,,DIST_BIM,,2022,,14.7965,14.7965,14.7965,14.7965,,,,,,,423.695,340.175,423.695,,340.175,,,,,,,,,,,,,,,467.1237,467.1237,,,,0.005685999571480329,0.005685999571480329,
LTS,0,,DIST_BIM,,2023,,16.3447,16.3447,16.3447,16.3447,,,,,,,421.996,322.676,421.996,,322.676,,,,,,,,,,,,,,,443.0958,443.0958,,,,0.005471689797747053,0.005471689797747053,
LTS,0,,DIST_BIM,,2024,,16.457,16.457,16.457,16.457,,,,,,,406.662,296.144,406.662,,296.144,,,,,,,,,,,,,,,406.662,406.662,,,,0.005094556420988153,0.005094556420988153,
LTS,0,,DIST_BIM,,2025,,17.1578,17.1578,17.1578,17.1578,,,,,,,403.515,279.859,403.515,,279.859,,,,,,,,,,,,,,,384.3,384.3,,,,0.004884185138582214,0.004884185138582214,
LTS,0,,DIST_BIM,,2026,,18.0554,18.0554,18.0554,18.0554,,,,,,,345.974,228.525,345.974,,228.525,,,,,,,,,,,,,,,313.8086,313.8086,,,,0.004046090077970853,0.004046090077970853,
LTS,0,,DIST_BIM,,2027,,39.8863,39.8863,39.8863,39.8863,,,,,,,590.544,371.496,590.544,,371.496,,,,,,,,,,,,,,,510.1341,510.1341,,,,0.00667273681928186,0.00667273681928186,
LTS,0,,DIST_BIM,,2028,,39.7605,39.7605,39.7605,39.7605,,,,,,,415.485,248.925,415.485,,248.925,,,,,,,,,,,,,,,341.8205,341.8205,,,,0.004535934078499574,0.004535934078499574,
LTS,0,,DIST_BIM,,2029,,39.6347,39.6347,39.6347,39.6347,,,,,,,412.411,235.317,412.411,,235.317,,,,,,,,,,,,,,,323.1348,323.1348,,,,0.004350120383141286,0.004350120383141286,
LTS,0,,DIST_BIM,,2030,,39.5088,39.5088,39.5088,39.5088,,,,,,,409.351,222.448,409.351,,222.448,,,,,,,,,,,,,,,305.464,305.464,,,,0.004171829406002055,0.004171829406002055,
LTS,0,,DIST_BIM,,2031,,39.3142,39.3142,39.3142,39.3142,,,,,,,405.589,209.909,405.589,,209.909,,,,,,,,,,,,,,,288.2445,288.2445,,,,0.003993709795513753,0.003993709795513753,
LTS,0,,DIST_BIM,,2032,,39.1185,39.1185,39.1185,39.1185,,,,,,,401.833,198.062,401.833,,198.062,,,,,,,,,,,,,,,271.9764,271.9764,,,,0.0038229233061832864,0.0038229233061832864,
LTS,0,,DIST_BIM,,2033,,38.9228,38.9228,38.9228,38.9228,,,,,,,398.099,186.877,398.099,,186.877,,,,,,,,,,,,,,,256.6182,256.6182,,,,0.0036593228084675408,0.0036593228084675408,
LTS,0,,DIST_BIM,,2034,,38.7271,38.7271,38.7271,38.7271,,,,,,,394.378,176.315,394.378,,176.315,,,,,,,,,,,,,,,242.1139,242.1139,,,,0.0035025308274138347,0.0035025308274138347,
LTS,0,,DIST_BIM,,2035,,38.5325,38.5325,38.5325,38.5325,,,,,,,390.689,166.348,390.689,,166.348,,,,,,,,,,,,,,,228.4278,228.4278,,,,0.0033524331004428694,0.0033524331004428694,
LTS,0,,DIST_BIM,,2036,,38.3368,38.3368,38.3368,38.3368,,,,,,,387.002,156.932,387.002,,156.932,,,,,,,,,,,,,,,215.4972,215.4972,,,,0.0032084981706048815,0.0032084981706048815,
LTS,0,,DIST_BIM,,2037,,38.1411,38.1411,38.1411,38.1411,,,,,,,383.337,148.044,383.337,,148.044,,,,,,,,,,,,,,,203.2918,203.2918,,,,0.0030706405197900052,0.0030706405197900052,
LTS,0,,DIST_BIM,,2038,,37.9465,37.9465,37.9465,37.9465,,,,,,,379.696,139.655,379.696,,139.655,,,,,,,,,,,,,,,191.7723,191.7723,,,,0.0029386232406477322,0.0029386232406477322,
LTS,0,,DIST_BIM,,2039,,37.7507,37.7507,37.7507,37.7507,,,,,,,376.061,131.731,376.061,,131.731,,,,,,,,,,,,,,,180.8918,180.8918,,,,0.002812068099690092,0.002812068099690092,
LTS,0,,DIST_BIM,,2040,,37.555,37.555,37.555,37.555,,,,,,,372.448,124.253,372.448,,124.253,,,,,,,,,,,,,,,170.6227,170.6227,,,,0.0026908707253318217,0.0026908707253318217,
LTS,0,,DIST_BIM,,2041,,37.2964,37.2964,37.2964,37.2964,,,,,,,368.228,116.995,368.228,,116.995,,,,,,,,,,,,,,,160.6567,160.6567,,,,0.0025704173661709523,0.0025704173661709523,
LTS,0,,DIST_BIM,,2042,,37.0389,37.0389,37.0389,37.0389,,,,,,,364.044,110.158,364.044,,110.158,,,,,,,,,,,,,,,151.2678,151.2678,,,,0.0024552762643286125,0.0024552762643286125,
LTS,0,,DIST_BIM,,2043,,36.7803,36.7803,36.7803,36.7803,,,,,,,359.87,103.709,359.87,,103.709,,,,,,,,,,,,,,,142.4128,142.4128,,,,0.0023450482448024355,0.0023450482448024355,
LTS,0,,DIST_BIM,,2044,,36.5217,36.5217,36.5217,36.5217,,,,,,,355.722,97.6324,355.722,,97.6324,,,,,,,,,,,,,,,134.0679,134.0679,,,,0.0022396312241514268,0.0022396312241514268,
LTS,0,,DIST_BIM,,2045,,36.2631,36.2631,36.2631,36.2631,,,,,,,351.593,91.904,351.593,,91.904,,,,,,,,,,,,,,,126.2016,126.2016,,,,0.002138777754753428,0.002138777754753428,
LTS,0,,DIST_BIM,,2046,,36.0056,36.0056,36.0056,36.0056,,,,,,,347.497,86.5081,347.497,,86.5081,,,,,,,,,,,,,,,118.7918,118.7918,,,,0.002042378115428155,0.002042378115428155,
LTS,0,,DIST_BIM,,2047,,35.747,35.747,35.747,35.747,,,,,,,343.418,81.4215,343.418,,81.4215,,,,,,,,,,,,,,,111.807,111.807,,,,0.0019501489948402604,0.0019501489948402604,
LTS,0,,DIST_BIM,,2048,,35.4884,35.4884,35.4884,35.4884,,,,,,,339.358,76.6275,339.358,,76.6275,,,,,,,,,,,,,,,105.224,105.224,,,,0.0018619262754790515,0.0018619262754790515,
LTS,0,,DIST_BIM,,2049,,35.2298,35.2298,35.2298,35.2298,,,,,,,336.885,72.4466,336.885,,72.4466,,,,,,,,,,,,,,,99.4831,99.4831,,,,0.0017858530237950592,0.0017858530237950592,
LTS,0,,DIST_BIM,,2050,,34.9722,34.9722,34.9722,34.9722,,,,,,,334.422,68.4924,334.422,,68.4924,,,,,,,,,,,,,,,94.0531,94.0531,,,,0.0017128468341519412,0.0017128468341519412,
LTS,0,,DIST_BGS,,2018,,16.8195,16.8195,16.8195,16.8195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_BGS,,2019,,6.78428,6.78428,6.78428,6.78428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_BGS,,2020,,1.50817,1.50817,1.50817,1.50817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTS,0,,DIST_BGS,,2023,,19.3752,19.3752,19.3752,19.3752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
