PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,RD,DIST_CRU,,,1,2018,,,,,,15.06
VariableCost,BAU,RD,DIST_CRU,,,1,2019,,,,,,15.06
VariableCost,BAU,RD,DIST_CRU,,,1,2020,,,,,,15.06
VariableCost,BAU,RD,DIST_CRU,,,1,2021,,,,,,15.06
VariableCost,BAU,RD,DIST_CRU,,,1,2022,,,,,,15.06
VariableCost,BAU,RD,DIST_CRU,,,1,2023,,,,,,15.06
VariableCost,BAU,RD,DIST_CRU,,,1,2024,,,,,,14.94
VariableCost,BAU,RD,DIST_CRU,,,1,2025,,,,,,14.82
VariableCost,BAU,RD,DIST_CRU,,,1,2026,,,,,,14.7
VariableCost,BAU,RD,DIST_CRU,,,1,2027,,,,,,14.58
VariableCost,BAU,RD,DIST_CRU,,,1,2028,,,,,,14.46
VariableCost,BAU,RD,DIST_CRU,,,1,2029,,,,,,14.34
VariableCost,BAU,RD,DIST_CRU,,,1,2030,,,,,,14.22
VariableCost,BAU,RD,DIST_CRU,,,1,2031,,,,,,14.2078
VariableCost,BAU,RD,DIST_CRU,,,1,2032,,,,,,14.1956
VariableCost,BAU,RD,DIST_CRU,,,1,2033,,,,,,14.1833
VariableCost,BAU,RD,DIST_CRU,,,1,2034,,,,,,14.1711
VariableCost,BAU,RD,DIST_CRU,,,1,2035,,,,,,14.1589
VariableCost,BAU,RD,DIST_CRU,,,1,2036,,,,,,14.1467
VariableCost,BAU,RD,DIST_CRU,,,1,2037,,,,,,14.1344
VariableCost,BAU,RD,DIST_CRU,,,1,2038,,,,,,14.1222
VariableCost,BAU,RD,DIST_CRU,,,1,2039,,,,,,14.11
VariableCost,BAU,RD,DIST_CRU,,,1,2040,,,,,,14.0978
VariableCost,BAU,RD,DIST_CRU,,,1,2041,,,,,,14.0856
VariableCost,BAU,RD,DIST_CRU,,,1,2042,,,,,,14.0733
VariableCost,BAU,RD,DIST_CRU,,,1,2043,,,,,,14.0611
VariableCost,BAU,RD,DIST_CRU,,,1,2044,,,,,,14.0489
VariableCost,BAU,RD,DIST_CRU,,,1,2045,,,,,,14.0367
VariableCost,BAU,RD,DIST_CRU,,,1,2046,,,,,,14.0244
VariableCost,BAU,RD,DIST_CRU,,,1,2047,,,,,,14.0122
VariableCost,BAU,RD,DIST_CRU,,,1,2048,,,,,,14.0
VariableCost,BAU,RD,DIST_CRU,,,1,2049,,,,,,13.9878
VariableCost,BAU,RD,DIST_CRU,,,1,2050,,,,,,13.89
VariableCost,BAU,RD,DIST_NGS,,,1,2018,,,,,,5.3907
VariableCost,BAU,RD,DIST_NGS,,,1,2019,,,,,,6.5644
VariableCost,BAU,RD,DIST_NGS,,,1,2020,,,,,,5.5565
VariableCost,BAU,RD,DIST_NGS,,,1,2021,,,,,,5.1476
VariableCost,BAU,RD,DIST_NGS,,,1,2022,,,,,,7.6421
VariableCost,BAU,RD,DIST_NGS,,,1,2023,,,,,,20.5872
VariableCost,BAU,RD,DIST_NGS,,,1,2024,,,,,,7.646
VariableCost,BAU,RD,DIST_NGS,,,1,2025,,,,,,6.1208
VariableCost,BAU,RD,DIST_NGS,,,1,2026,,,,,,5.4194
VariableCost,BAU,RD,DIST_NGS,,,1,2027,,,,,,5.0577
VariableCost,BAU,RD,DIST_NGS,,,1,2028,,,,,,4.3673
VariableCost,BAU,RD,DIST_NGS,,,1,2029,,,,,,3.6768
VariableCost,BAU,RD,DIST_NGS,,,1,2030,,,,,,2.9863
VariableCost,BAU,RD,DIST_NGS,,,1,2031,,,,,,2.9963
VariableCost,BAU,RD,DIST_NGS,,,1,2032,,,,,,3.0062
VariableCost,BAU,RD,DIST_NGS,,,1,2033,,,,,,3.0161
VariableCost,BAU,RD,DIST_NGS,,,1,2034,,,,,,3.0261
VariableCost,BAU,RD,DIST_NGS,,,1,2035,,,,,,3.036
VariableCost,BAU,RD,DIST_NGS,,,1,2036,,,,,,3.0459
VariableCost,BAU,RD,DIST_NGS,,,1,2037,,,,,,3.0559
VariableCost,BAU,RD,DIST_NGS,,,1,2038,,,,,,3.0658
VariableCost,BAU,RD,DIST_NGS,,,1,2039,,,,,,3.0757
VariableCost,BAU,RD,DIST_NGS,,,1,2040,,,,,,3.0857
VariableCost,BAU,RD,DIST_NGS,,,1,2041,,,,,,3.0956
VariableCost,BAU,RD,DIST_NGS,,,1,2042,,,,,,3.1055
VariableCost,BAU,RD,DIST_NGS,,,1,2043,,,,,,3.1154
VariableCost,BAU,RD,DIST_NGS,,,1,2044,,,,,,3.1254
VariableCost,BAU,RD,DIST_NGS,,,1,2045,,,,,,3.1353
VariableCost,BAU,RD,DIST_NGS,,,1,2046,,,,,,3.1452
VariableCost,BAU,RD,DIST_NGS,,,1,2047,,,,,,3.1552
VariableCost,BAU,RD,DIST_NGS,,,1,2048,,,,,,3.1651
VariableCost,BAU,RD,DIST_NGS,,,1,2049,,,,,,3.175
VariableCost,BAU,RD,DIST_NGS,,,1,2050,,,,,,3.185
VariableCost,BAU,RD,DIST_DSL,,,1,2018,,,,,,19.9482
VariableCost,BAU,RD,DIST_DSL,,,1,2019,,,,,,18.6528
VariableCost,BAU,RD,DIST_DSL,,,1,2020,,,,,,19.0073
VariableCost,BAU,RD,DIST_DSL,,,1,2021,,,,,,19.3684
VariableCost,BAU,RD,DIST_DSL,,,1,2022,,,,,,19.7364
VariableCost,BAU,RD,DIST_DSL,,,1,2023,,,,,,20.1114
VariableCost,BAU,RD,DIST_DSL,,,1,2024,,,,,,20.4935
VariableCost,BAU,RD,DIST_DSL,,,1,2025,,,,,,20.8829
VariableCost,BAU,RD,DIST_DSL,,,1,2026,,,,,,21.2797
VariableCost,BAU,RD,DIST_DSL,,,1,2027,,,,,,21.684
VariableCost,BAU,RD,DIST_DSL,,,1,2028,,,,,,22.096
VariableCost,BAU,RD,DIST_DSL,,,1,2029,,,,,,22.5158
VariableCost,BAU,RD,DIST_DSL,,,1,2030,,,,,,22.9436
VariableCost,BAU,RD,DIST_DSL,,,1,2031,,,,,,23.3795
VariableCost,BAU,RD,DIST_DSL,,,1,2032,,,,,,23.8237
VariableCost,BAU,RD,DIST_DSL,,,1,2033,,,,,,24.2764
VariableCost,BAU,RD,DIST_DSL,,,1,2034,,,,,,24.7377
VariableCost,BAU,RD,DIST_DSL,,,1,2035,,,,,,25.2077
VariableCost,BAU,RD,DIST_DSL,,,1,2036,,,,,,25.6866
VariableCost,BAU,RD,DIST_DSL,,,1,2037,,,,,,26.1746
VariableCost,BAU,RD,DIST_DSL,,,1,2038,,,,,,26.6719
