PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2018,,,,,,15.4447
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2019,,,,,,16.8792
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2020,,,,,,18.4699
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2021,,,,,,19.5042
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2022,,,,,,20.5776
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2023,,,,,,21.6902
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2024,,,,,,22.842
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2025,,,,,,24.033
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2026,,,,,,25.2628
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2027,,,,,,26.5312
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2028,,,,,,27.8376
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2029,,,,,,29.1815
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2030,,,,,,30.5621
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2031,,,,,,31.9785
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2032,,,,,,33.4296
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2033,,,,,,34.9144
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2034,,,,,,36.4313
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2035,,,,,,37.979
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2036,,,,,,39.5558
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2037,,,,,,41.1599
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2038,,,,,,42.7892
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2039,,,,,,44.4418
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2040,,,,,,46.1153
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2041,,,,,,47.8072
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2042,,,,,,49.5151
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2043,,,,,,51.2362
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2044,,,,,,52.9676
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2045,,,,,,54.7064
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2046,,,,,,56.4495
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2047,,,,,,58.1935
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2048,,,,,,59.9353
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2049,,,,,,61.6714
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Auto,,,,2050,,,,,,63.3982
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2018,,,,,,0.7757
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2019,,,,,,0.8477
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2020,,,,,,0.9276
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2021,,,,,,0.9795
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2022,,,,,,1.0334
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2023,,,,,,1.0893
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2024,,,,,,1.1472
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2025,,,,,,1.207
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2026,,,,,,1.2687
TotalTechnologyAnnualActivityLowerLimit,BAU,RD,Techs_Taxi,,,,2027,,,,,,1.3324
