PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2018,,,,,,4.8415
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2019,,,,,,4.944
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2020,,,,,,3.7278
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2021,,,,,,4.3093
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2022,,,,,,4.9471
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2023,,,,,,5.083
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2024,,,,,,5.2227
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2025,,,,,,5.3655
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2026,,,,,,5.5115
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2027,,,,,,5.6607
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2028,,,,,,5.8133
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2029,,,,,,5.9691
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2030,,,,,,6.1284
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2031,,,,,,6.291
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2032,,,,,,6.4572
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2033,,,,,,6.6268
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2034,,,,,,6.8001
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2035,,,,,,6.9769
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2036,,,,,,7.1575
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2037,,,,,,7.3417
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2038,,,,,,7.5297
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2039,,,,,,7.7215
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2040,,,,,,7.9171
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2041,,,,,,8.1167
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2042,,,,,,8.3202
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2043,,,,,,8.5276
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2044,,,,,,8.7392
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2045,,,,,,8.9547
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2046,,,,,,9.1745
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2047,,,,,,9.3983
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2048,,,,,,9.6264
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2049,,,,,,9.8587
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_SUVMIV,,,,2050,,,,,,10.0953
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2018,,,,,,9.6011
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2019,,,,,,9.804
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2020,,,,,,7.3922
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2021,,,,,,8.5454
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2022,,,,,,9.8102
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2023,,,,,,10.0797
TotalTechnologyAnnualActivityLowerLimit,BAU,CR,Techs_Sedan,,,,2024,,,,,,10.3567
