PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2045,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2046,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2047,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2048,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2049,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AD,,,,2050,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2018,,,,,,0.125
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2019,,,,,,0.1305
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2020,,,,,,0.1214
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2021,,,,,,0.1334
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2022,,,,,,0.1422
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2023,,,,,,0.1473
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2024,,,,,,0.1516
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2025,,,,,,0.1531
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2026,,,,,,0.1545
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2027,,,,,,0.156
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2028,,,,,,0.1575
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2029,,,,,,0.159
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2030,,,,,,0.1604
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2031,,,,,,0.1619
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2032,,,,,,0.1634
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2033,,,,,,0.1648
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2034,,,,,,0.1663
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2035,,,,,,0.1678
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2036,,,,,,0.1693
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2037,,,,,,0.1707
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2038,,,,,,0.1722
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2039,,,,,,0.1737
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2040,,,,,,0.1751
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2041,,,,,,0.1766
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2042,,,,,,0.1781
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2043,,,,,,0.1796
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2044,,,,,,0.181
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2045,,,,,,0.1825
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2046,,,,,,0.184
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2047,,,,,,0.1855
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2048,,,,,,0.1869
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2049,,,,,,0.1884
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR,,,,2050,,,,,,0.1899
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2018,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2019,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2020,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2021,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2022,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2023,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2024,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2025,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2026,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2027,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2028,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2029,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2030,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2031,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2032,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2033,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2034,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2035,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2036,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2037,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2038,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2039,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2040,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2041,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2042,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2043,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2044,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,LTS,RD,AERO_PTAR_RU,,,,2045,,,,,,0.0
