PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,LTS,RD,DIST_CRU,,,1,2018,,,,,,15.06
VariableCost,LTS,RD,DIST_CRU,,,1,2019,,,,,,15.06
VariableCost,LTS,RD,DIST_CRU,,,1,2020,,,,,,15.06
VariableCost,LTS,RD,DIST_CRU,,,1,2021,,,,,,15.06
VariableCost,LTS,RD,DIST_CRU,,,1,2022,,,,,,15.06
VariableCost,LTS,RD,DIST_CRU,,,1,2023,,,,,,15.06
VariableCost,LTS,RD,DIST_CRU,,,1,2024,,,,,,14.94
VariableCost,LTS,RD,DIST_CRU,,,1,2025,,,,,,14.82
VariableCost,LTS,RD,DIST_CRU,,,1,2026,,,,,,14.7
VariableCost,LTS,RD,DIST_CRU,,,1,2027,,,,,,14.58
VariableCost,LTS,RD,DIST_CRU,,,1,2028,,,,,,14.46
VariableCost,LTS,RD,DIST_CRU,,,1,2029,,,,,,14.34
VariableCost,LTS,RD,DIST_CRU,,,1,2030,,,,,,14.22
VariableCost,LTS,RD,DIST_CRU,,,1,2031,,,,,,14.2078
VariableCost,LTS,RD,DIST_CRU,,,1,2032,,,,,,14.1956
VariableCost,LTS,RD,DIST_CRU,,,1,2033,,,,,,14.1833
VariableCost,LTS,RD,DIST_CRU,,,1,2034,,,,,,14.1711
VariableCost,LTS,RD,DIST_CRU,,,1,2035,,,,,,14.1589
VariableCost,LTS,RD,DIST_CRU,,,1,2036,,,,,,14.1467
VariableCost,LTS,RD,DIST_CRU,,,1,2037,,,,,,14.1344
VariableCost,LTS,RD,DIST_CRU,,,1,2038,,,,,,14.1222
VariableCost,LTS,RD,DIST_CRU,,,1,2039,,,,,,14.11
VariableCost,LTS,RD,DIST_CRU,,,1,2040,,,,,,14.0978
VariableCost,LTS,RD,DIST_CRU,,,1,2041,,,,,,14.0856
VariableCost,LTS,RD,DIST_CRU,,,1,2042,,,,,,14.0733
VariableCost,LTS,RD,DIST_CRU,,,1,2043,,,,,,14.0611
VariableCost,LTS,RD,DIST_CRU,,,1,2044,,,,,,14.0489
VariableCost,LTS,RD,DIST_CRU,,,1,2045,,,,,,14.0367
VariableCost,LTS,RD,DIST_CRU,,,1,2046,,,,,,14.0244
VariableCost,LTS,RD,DIST_CRU,,,1,2047,,,,,,14.0122
VariableCost,LTS,RD,DIST_CRU,,,1,2048,,,,,,14.0
VariableCost,LTS,RD,DIST_CRU,,,1,2049,,,,,,13.9878
VariableCost,LTS,RD,DIST_CRU,,,1,2050,,,,,,13.89
VariableCost,LTS,RD,DIST_NGS,,,1,2018,,,,,,5.3907
VariableCost,LTS,RD,DIST_NGS,,,1,2019,,,,,,6.5644
VariableCost,LTS,RD,DIST_NGS,,,1,2020,,,,,,5.5565
VariableCost,LTS,RD,DIST_NGS,,,1,2021,,,,,,5.1476
VariableCost,LTS,RD,DIST_NGS,,,1,2022,,,,,,7.6421
VariableCost,LTS,RD,DIST_NGS,,,1,2023,,,,,,20.5872
VariableCost,LTS,RD,DIST_NGS,,,1,2024,,,,,,7.646
VariableCost,LTS,RD,DIST_NGS,,,1,2025,,,,,,6.1208
VariableCost,LTS,RD,DIST_NGS,,,1,2026,,,,,,5.4194
VariableCost,LTS,RD,DIST_NGS,,,1,2027,,,,,,5.0577
VariableCost,LTS,RD,DIST_NGS,,,1,2028,,,,,,4.3673
VariableCost,LTS,RD,DIST_NGS,,,1,2029,,,,,,3.6768
VariableCost,LTS,RD,DIST_NGS,,,1,2030,,,,,,2.9863
VariableCost,LTS,RD,DIST_NGS,,,1,2031,,,,,,2.9963
VariableCost,LTS,RD,DIST_NGS,,,1,2032,,,,,,3.0062
VariableCost,LTS,RD,DIST_NGS,,,1,2033,,,,,,3.0161
VariableCost,LTS,RD,DIST_NGS,,,1,2034,,,,,,3.0261
VariableCost,LTS,RD,DIST_NGS,,,1,2035,,,,,,3.036
VariableCost,LTS,RD,DIST_NGS,,,1,2036,,,,,,3.0459
VariableCost,LTS,RD,DIST_NGS,,,1,2037,,,,,,3.0559
VariableCost,LTS,RD,DIST_NGS,,,1,2038,,,,,,3.0658
VariableCost,LTS,RD,DIST_NGS,,,1,2039,,,,,,3.0757
VariableCost,LTS,RD,DIST_NGS,,,1,2040,,,,,,3.0857
VariableCost,LTS,RD,DIST_NGS,,,1,2041,,,,,,3.0956
VariableCost,LTS,RD,DIST_NGS,,,1,2042,,,,,,3.1055
VariableCost,LTS,RD,DIST_NGS,,,1,2043,,,,,,3.1154
VariableCost,LTS,RD,DIST_NGS,,,1,2044,,,,,,3.1254
VariableCost,LTS,RD,DIST_NGS,,,1,2045,,,,,,3.1353
VariableCost,LTS,RD,DIST_NGS,,,1,2046,,,,,,3.1452
VariableCost,LTS,RD,DIST_NGS,,,1,2047,,,,,,3.1552
VariableCost,LTS,RD,DIST_NGS,,,1,2048,,,,,,3.1651
VariableCost,LTS,RD,DIST_NGS,,,1,2049,,,,,,3.175
VariableCost,LTS,RD,DIST_NGS,,,1,2050,,,,,,3.185
VariableCost,LTS,RD,DIST_DSL,,,1,2018,,,,,,19.9482
VariableCost,LTS,RD,DIST_DSL,,,1,2019,,,,,,18.6528
VariableCost,LTS,RD,DIST_DSL,,,1,2020,,,,,,19.0073
VariableCost,LTS,RD,DIST_DSL,,,1,2021,,,,,,19.3684
VariableCost,LTS,RD,DIST_DSL,,,1,2022,,,,,,19.7364
VariableCost,LTS,RD,DIST_DSL,,,1,2023,,,,,,20.1114
VariableCost,LTS,RD,DIST_DSL,,,1,2024,,,,,,20.4935
VariableCost,LTS,RD,DIST_DSL,,,1,2025,,,,,,20.8829
VariableCost,LTS,RD,DIST_DSL,,,1,2026,,,,,,21.2797
VariableCost,LTS,RD,DIST_DSL,,,1,2027,,,,,,21.684
VariableCost,LTS,RD,DIST_DSL,,,1,2028,,,,,,22.096
VariableCost,LTS,RD,DIST_DSL,,,1,2029,,,,,,22.5158
VariableCost,LTS,RD,DIST_DSL,,,1,2030,,,,,,22.9436
VariableCost,LTS,RD,DIST_DSL,,,1,2031,,,,,,23.3795
VariableCost,LTS,RD,DIST_DSL,,,1,2032,,,,,,23.8237
VariableCost,LTS,RD,DIST_DSL,,,1,2033,,,,,,24.2764
VariableCost,LTS,RD,DIST_DSL,,,1,2034,,,,,,24.7377
VariableCost,LTS,RD,DIST_DSL,,,1,2035,,,,,,25.2077
VariableCost,LTS,RD,DIST_DSL,,,1,2036,,,,,,25.6866
VariableCost,LTS,RD,DIST_DSL,,,1,2037,,,,,,26.1746
VariableCost,LTS,RD,DIST_DSL,,,1,2038,,,,,,26.6719
VariableCost,LTS,RD,DIST_DSL,,,1,2039,,,,,,27.1787
VariableCost,LTS,RD,DIST_DSL,,,1,2040,,,,,,27.6951
VariableCost,LTS,RD,DIST_DSL,,,1,2041,,,,,,28.2213
VariableCost,LTS,RD,DIST_DSL,,,1,2042,,,,,,28.7575
VariableCost,LTS,RD,DIST_DSL,,,1,2043,,,,,,29.3039
VariableCost,LTS,RD,DIST_DSL,,,1,2044,,,,,,29.8607
VariableCost,LTS,RD,DIST_DSL,,,1,2045,,,,,,30.4281
VariableCost,LTS,RD,DIST_DSL,,,1,2046,,,,,,31.0062
VariableCost,LTS,RD,DIST_DSL,,,1,2047,,,,,,31.5953
VariableCost,LTS,RD,DIST_DSL,,,1,2048,,,,,,32.1956
VariableCost,LTS,RD,DIST_DSL,,,1,2049,,,,,,32.8073
VariableCost,LTS,RD,DIST_DSL,,,1,2050,,,,,,33.4306
VariableCost,LTS,RD,DIST_GSL,,,1,2018,,,,,,26.1696
VariableCost,LTS,RD,DIST_GSL,,,1,2019,,,,,,22.807
VariableCost,LTS,RD,DIST_GSL,,,1,2020,,,,,,23.2404
VariableCost,LTS,RD,DIST_GSL,,,1,2021,,,,,,23.682
VariableCost,LTS,RD,DIST_GSL,,,1,2022,,,,,,24.132
VariableCost,LTS,RD,DIST_GSL,,,1,2023,,,,,,24.5905
VariableCost,LTS,RD,DIST_GSL,,,1,2024,,,,,,25.0577
VariableCost,LTS,RD,DIST_GSL,,,1,2025,,,,,,25.5338
VariableCost,LTS,RD,DIST_GSL,,,1,2026,,,,,,26.0189
VariableCost,LTS,RD,DIST_GSL,,,1,2027,,,,,,26.5133
