,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
0,2018.0,DIST_FIR,,,12.4972,,,,,,,,,,12.4972,,,12.4972,,,,,,12.4972,12.4972,,12.4972,,
1,2019.0,DIST_FIR,,,18.2867,,,,,,,,,,18.2867,,,18.2867,,,,,,18.2867,18.2867,,18.2867,,
2,2020.0,DIST_FIR,,,18.5214,,,,,,,,,,18.5214,,,18.5214,,,,,,18.5214,18.5214,,18.5214,,
3,2021.0,DIST_FIR,,,18.7544,,,,,,,,,,18.7544,,,18.7544,,,,,,18.7544,18.7544,,18.7544,,
4,2022.0,DIST_FIR,,,18.9082,,,,,,,,,,18.9082,,,18.9082,,,,,,18.9082,18.9082,,18.9082,,
5,2023.0,DIST_FIR,,,19.1873,,,,,,,,,,19.1873,,,19.1873,,,,,,19.1873,19.1873,,19.1873,,
6,2024.0,DIST_FIR,,,19.9879,,,,,,,,,,19.9879,,,19.9879,,,,,,19.9879,19.9879,,19.9879,,
7,2025.0,DIST_FIR,,,20.7965,,,,,,,,,,20.7965,,,20.7965,,,,,,20.7965,20.7965,,20.7965,,
8,2026.0,DIST_FIR,,,21.3519,,,,,,,,,,21.3519,,,21.3519,,,,,,21.3519,21.3519,,21.3519,,
9,2027.0,DIST_FIR,,,21.9075,,,,,,,,,,21.9075,,,21.9075,,,,,,21.9075,21.9075,,21.9075,,
10,2028.0,DIST_FIR,,,22.4629,,,,,,,,,,22.4629,,,22.4629,,,,,,22.4629,22.4629,,22.4629,,
11,2029.0,DIST_FIR,,,23.0185,,,,,,,,,,23.0185,,,23.0185,,,,,,23.0185,23.0185,,23.0185,,
12,2030.0,DIST_FIR,,,23.574,,,,,,,,,,23.574,,,23.574,,,,,,23.574,23.574,,23.574,,
13,2031.0,DIST_FIR,,,23.9622,,,,,,,,,,23.9622,,,23.9622,,,,,,23.9622,23.9622,,23.9622,,
14,2032.0,DIST_FIR,,,24.3504,,,,,,,,,,24.3504,,,24.3504,,,,,,24.3504,24.3504,,24.3504,,
15,2033.0,DIST_FIR,,,24.7385,,,,,,,,,,24.7385,,,24.7385,,,,,,24.7385,24.7385,,24.7385,,
16,2034.0,DIST_FIR,,,25.1268,,,,,,,,,,25.1268,,,25.1268,,,,,,25.1268,25.1268,,25.1268,,
17,2035.0,DIST_FIR,,,25.5149,,,,,,,,,,25.5149,,,25.5149,,,,,,25.5149,25.5149,,25.5149,,
