PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,LTS,RD,DIST_CRU,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_NGS,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_DSL,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_GSL,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_LPG,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_FOI,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_COK,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_KER,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_COA,,,,,,,,,,1.0
OperationalLife,LTS,RD,IMP_ELE,,,,,,,,,,30.0
OperationalLife,LTS,RD,EXTT_CRU,,,,,,,,,,1.0
OperationalLife,LTS,RD,EXTT_LPG,,,,,,,,,,1.0
OperationalLife,LTS,RD,PPHDAM,,,,,,,,,,30.0
OperationalLife,LTS,RD,PPHROR,,,,,,,,,,30.0
OperationalLife,LTS,RD,PPGEO,,,,,,,,,,50.0
OperationalLife,LTS,RD,PPWNDON,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPWNDOFF,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPPVT,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPPVTHYD,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPPVTS,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPPVD,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDHYD,,,,,,,,,,25.0
OperationalLife,LTS,RD,DIST_FIR,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_BIM,,,,,,,,,,1.0
OperationalLife,LTS,RD,DIST_BGS,,,,,,,,,,1.0
OperationalLife,LTS,RD,SOIALL,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPRIC,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPBAN,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPSGC,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPCOC,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPTRVEG,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPCAF,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPLEG,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPROT,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPFRT,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPCER,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPOTP,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPLEC,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPCARAVI,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPCARBOV,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPCARPOR,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMPOTRCAR,,,,,,,,,,100.0
OperationalLife,LTS,RD,INORG_RCY_OS,,,,,,,,,,100.0
OperationalLife,LTS,RD,AD,,,,,,,,,,20.0
OperationalLife,LTS,RD,COMPOST,,,,,,,,,,20.0
OperationalLife,LTS,RD,LANDFILL,,,,,,,,,,30.0
OperationalLife,LTS,RD,NO_CONTR_OD,,,,,,,,,,20.0
OperationalLife,LTS,RD,COPROC,,,,,,,,,,20.0
OperationalLife,LTS,RD,INCIN,,,,,,,,,,20.0
OperationalLife,LTS,RD,OPEN_BURN,,,,,,,,,,20.0
OperationalLife,LTS,RD,SIT_CLAN,,,,,,,,,,20.0
OperationalLife,LTS,RD,AERO_PTAR,,,,,,,,,,20.0
OperationalLife,LTS,RD,AERO_PTAR_RU,,,,,,,,,,20.0
OperationalLife,LTS,RD,ANAE_LAGN,,,,,,,,,,20.0
OperationalLife,LTS,RD,ANAE_LAGN_RU,,,,,,,,,,20.0
OperationalLife,LTS,RD,SEPT_SYST,,,,,,,,,,20.0
OperationalLife,LTS,RD,LATR,,,,,,,,,,20.0
OperationalLife,LTS,RD,EFLT_DISC,,,,,,,,,,100.0
OperationalLife,LTS,RD,SEWER_NO_T,,,,,,,,,,100.0
OperationalLife,LTS,RD,RAW_MAT_CLK,,,,,,,,,,100.0
OperationalLife,LTS,RD,RAW_MAT_CEM,,,,,,,,,,100.0
OperationalLife,LTS,RD,IMP_STOR,,,,,,,,,,100.0
OperationalLife,LTS,RD,REF_DSL,,,,,,,,,,1.0
OperationalLife,LTS,RD,REF_GSL,,,,,,,,,,1.0
OperationalLife,LTS,RD,REF_LPG,,,,,,,,,,1.0
OperationalLife,LTS,RD,REF_FOI,,,,,,,,,,1.0
OperationalLife,LTS,RD,PPBIM,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPBGS,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPCOA,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPCCTDSL,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPCCFOIDSL,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPCCTNGS,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPCCTNGSDSL,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPICEFOI,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPICEGASFOI,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPADSL,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPAFOI,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPANGS,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDBGS,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDDSL,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDFOI,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDNGS,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDGSL,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDGLP,,,,,,,,,,25.0
OperationalLife,LTS,RD,PPDBIM,,,,,,,,,,25.0
OperationalLife,LTS,RD,ELE_TRANS,,,,,,,,,,30.0
OperationalLife,LTS,RD,HYD_G_PROD,,,,,,,,,,10.0
OperationalLife,LTS,RD,ELE_DIST,,,,,,,,,,30.0
OperationalLife,LTS,RD,HYD_DIST,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_FOR,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_AGR,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_GAN,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_LATHUM,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_DCON,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_WET,,,,,,,,,,1.0
OperationalLife,LTS,RD,LU_DRY,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_RIC,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_BAN,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_SGC,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_COC,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_TRVEG,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_CAF,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_LEG,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_ROT,,,,,,,,,,1.0
OperationalLife,LTS,RD,AG_FRT,,,,,,,,,,1.0
OperationalLife,LTS,RD,AGR_CER,,,,,,,,,,1.0
OperationalLife,LTS,RD,AGR_OTP,,,,,,,,,,1.0
OperationalLife,LTS,RD,GA_LEC,,,,,,,,,,1.0
OperationalLife,LTS,RD,GA_OTRCARPRO,,,,,,,,,,1.0
OperationalLife,LTS,RD,GA_CARAVI,,,,,,,,,,1.0
OperationalLife,LTS,RD,GA_CARBOV,,,,,,,,,,1.0
OperationalLife,LTS,RD,GA_CARPOR,,,,,,,,,,1.0
OperationalLife,LTS,RD,GA_OTRCAR,,,,,,,,,,1.0
OperationalLife,LTS,RD,OSS_INORG,,,,,,,,,,100.0
OperationalLife,LTS,RD,OSS_ORG,,,,,,,,,,100.0
OperationalLife,LTS,RD,NO_OSS_BLEND,,,,,,,,,,100.0
OperationalLife,LTS,RD,NO_OSS_NO_COLL,,,,,,,,,,100.0
OperationalLife,LTS,RD,INORG_DCOLL,,,,,,,,,,100.0
OperationalLife,LTS,RD,ORG_DCOLL,,,,,,,,,,100.0
OperationalLife,LTS,RD,BLEND_NO_DCOLL,,,,,,,,,,100.0
OperationalLife,LTS,RD,BLEND_NO_COLL,,,,,,,,,,100.0
OperationalLife,LTS,RD,INORG_SS,,,,,,,,,,100.0
OperationalLife,LTS,RD,ORG_SS,,,,,,,,,,100.0
OperationalLife,LTS,RD,NO_SS,,,,,,,,,,100.0
OperationalLife,LTS,RD,WWWT,,,,,,,,,,100.0
OperationalLife,LTS,RD,WWWOT,,,,,,,,,,100.0
OperationalLife,LTS,RD,SEWERWW,,,,,,,,,,100.0
OperationalLife,LTS,RD,DIRECT_DISC,,,,,,,,,,100.0
OperationalLife,LTS,RD,PROD_CLK_TRAD,,,,,,,,,,40.0
